block,timestamp,start_time,end_time,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
86,2026-03-24 21:15:00,2026-03-24 21:15:00,2026-03-24 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
87,2026-03-24 21:30:00,2026-03-24 21:30:00,2026-03-24 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
88,2026-03-24 21:45:00,2026-03-24 21:45:00,2026-03-24 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
89,2026-03-24 22:00:00,2026-03-24 22:00:00,2026-03-24 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
90,2026-03-24 22:15:00,2026-03-24 22:15:00,2026-03-24 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
91,2026-03-24 22:30:00,2026-03-24 22:30:00,2026-03-24 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
92,2026-03-24 22:45:00,2026-03-24 22:45:00,2026-03-24 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
93,2026-03-24 23:00:00,2026-03-24 23:00:00,2026-03-24 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
94,2026-03-24 23:15:00,2026-03-24 23:15:00,2026-03-24 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
95,2026-03-24 23:30:00,2026-03-24 23:30:00,2026-03-24 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
96,2026-03-24 23:45:00,2026-03-24 23:45:00,2026-03-25 00:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
